Sol,Hour,Temperature
0,0,-54.000000000000014
0,1,-77.03489501412437
0,2,-98.5
0,3,-116.93250352560273
0,4,-131.07626093681506
0,5,-139.96739853972707
0,6,-143.0
0,7,-139.96739853972707
0,8,-131.07626093681503
0,9,-116.93250352560273
0,10,-98.5
0,11,-77.03489501412434
0,12,-54.0
0,13,-30.965104985875655
0,14,-9.500000000000007
0,15,8.932503525602726
0,16,23.076260936815032
0,17,31.967398539727085
0,18,35.0
0,19,31.967398539727085
0,20,23.07626093681506
0,21,8.932503525602733
0,22,-9.500000000000007
0,23,-30.96510498587563
1,0,-54.000000000000014
1,1,-77.03489501412437
1,2,-98.5
1,3,-116.93250352560273
1,4,-131.07626093681506
1,5,-139.96739853972707
1,6,-143.0
1,7,-139.96739853972707
1,8,-131.07626093681503
1,9,-116.93250352560273
1,10,-98.5
1,11,-77.03489501412434
1,12,-54.0
1,13,-30.965104985875655
1,14,-9.500000000000007
1,15,8.932503525602726
1,16,23.076260936815032
1,17,31.967398539727085
1,18,35.0
1,19,31.967398539727085
1,20,23.07626093681506
1,21,8.932503525602733
1,22,-9.500000000000007
1,23,-30.96510498587563
2,0,-54.000000000000014
2,1,-77.03489501412437
2,2,-98.5
2,3,-116.93250352560273
2,4,-131.07626093681506
2,5,-139.96739853972707
2,6,-143.0
2,7,-139.96739853972707
2,8,-131.07626093681503
2,9,-116.93250352560273
2,10,-98.5
2,11,-77.03489501412434
2,12,-54.0
2,13,-30.965104985875655
2,14,-9.500000000000007
2,15,8.932503525602726
2,16,23.076260936815032
2,17,31.967398539727085
2,18,35.0
2,19,31.967398539727085
2,20,23.07626093681506
2,21,8.932503525602733
2,22,-9.500000000000007
2,23,-30.96510498587563
3,0,-54.000000000000014
3,1,-77.03489501412437
3,2,-98.5
3,3,-116.93250352560273
3,4,-131.07626093681506
3,5,-139.96739853972707
3,6,-143.0
3,7,-139.96739853972707
3,8,-131.07626093681503
3,9,-116.93250352560273
3,10,-98.5
